word;level
Juni;A1.1
Kaffee;A1.1
Kaffeemaschine;A1.1
Kalender;A1.2
kalt;A1.1
Kantine;A1.2
kaputt;A1.2
Karte;A1.1
Kartoffel;A1.1
Käse;A1.1
Kasse;A1.2
Kassenbon;A1.2
Kassierer/in;A1.2
kaufen;A1.1
Kauffrau;A1.2
Kaufhaus;A1.2
Kaution;A1.1
kein/keine;A1.1
Keks;A1.1
Keller;A1.1
Kellner/in;A1.2
kennen;A1.2
Kichererbse;A1.1
Kilo;A1.1
Kind;A1.1
Kindergarten;A1.1
Kinderzimmer;A1.1
Kino;A1.2
Kirche;A1.2
Kirsche;A1.1
Kiwi;A1.1
Klamotten;A1.2
klar;A1.1
klasse;A1.2
Kleid;A1.2
Kleiderschrank;A1.1
Kleidung;A1.2
Kleidungsstücke;A1.2
klein;A1.1
klingeln;A1.2
Knie;A1.2
knifflig;A1.1
Koch/Köchin;A1.2
kochen;A1.1
Koffer;A1.2
Kollege/Kollegin;A1.2
kommen;A1.1
können;A1.1
Kontakt;A1.1
Kontrolle;A1.1
Konzert;A1.2
Kopf;A1.2
Kopfschmerzen;A1.2
Körper;A1.2
Körperteil;A1.2
korrigieren;A1.2
kosten;A1.1
Kraftfahrzeug (KFZ);A1.2
krank;A1.2
Krankenhaus;A1.2
Krankenkasse;A1.2
Krankenpfleger/Krankenschwester;A1.2
Krankheit;A1.2
Krankmeldung;A1.2
kreativ;A1.2
Kreuzung;A1.2
Küche;A1.1
Kuchen;A1.1
Kugelschreiber (Kuli);A1.1
Kühlschrank;A1.1
Kunde/Kundin;A1.1
Kurs;A1.1
Kursbuch;A1.1
Kursraum;A1.1
Kursteilnehmer/in;A1.1
kurz;A1.1
Kurzstrecke;A1.2
Lammfleisch;A1.1
Lampe;A1.1
Land;A1.1
Landkarte;A1.1
lang;A1.1
langsam;A1.1
langweilig;A1.2
lassen;A1.1
laut;A1.1
leben;A1.1
Lebensmittel;A1.1
lecker;A1.1
ledig;A1.1
Lehrer/in;A1.1
leider;A1.1
lernen;A1.1
lesen;A1.1
letzte;A1.2
Leute;A1.2
lieber/liebe;A1.1
lieben;A1.2
liebsten (am liebsten);A1.1
liegen;A1.1
lila;A1.2
Limonade (Limo);A1.1
Linie;A1.2
links;A1.2
Liste;A1.1
Liter;A1.1
Lösung;A1.2
Luftballon;A1.2
lustig;A1.2
machen;A1.1
Mai;A1.2
Mama;A1.2
man;A1.1
manchmal;A1.1
Mandarine;A1.1
Mango;A1.1
Mann;A1.1
Mantel;A1.2
Markt;A1.1
Marmelade;A1.1
März;A1.2
Mathematik;A1.2
maximal;A1.1
Medikament;A1.2
Meer;A1.2
Mehl;A1.1
mehr;A1.1
Mehrfamilienhaus;A1.1
mein/meine;A1.1
meisten (am meisten);A1.2
meistens;A1.1
Melone;A1.1
