word;level
kümmern;B1.2
Kundenbefragung;B1.1
kundenfreundlich;B1.1
Kündigung;B1.1
Kunststoff;B1.1
kuscheln;B1.1
Lage;B1.1
Lager;B1.1
Lagerfeuer;B1.1
laktosefrei;B1.2
landen;B1.1
Langeweile;B1.1
langfristig;B1.2
Lärm;B1.1
Laune;B1.2
Lautsprecherdurchsage;B1.1
lebhaft;B1.1
Leichtathletik;B1.1
leiden;B1.2
Leine;B1.1
leistungsgerecht;B1.2
leiten;B1.2
lenken;B1.2
Leuchtturm;B1.1
Lieblingsbeschäftigung;B1.1
lieferbar;B1.1
Lieferbedingung;B1.1
Lieferung;B1.1
lohnen;B1.2
Luft;B1.1
luftdurchlässig;B1.1
lüften;B1.1
Magazin;B1.1
Manager/in;B1.2
Mannschaft;B1.1
Maschinenbau;B1.2
Massentierhaltung;B1.2
massiv;B1.1
Matratze;B1.1
Mauer;B1.1
Mauerbau;B1.1
Mauerfall;B1.1
meckern;B1.1
Medizin;B1.1
Meerblick;B1.1
Meerschweinchen;B1.1
Mehrheit;B1.1
Mehrkosten (Pl.);B1.1
mehrmals;B1.2
meistern;B1.2
Mentalität;B1.2
merken;B1.1
Metall;B1.1
Mieterhöhung;B1.1
Mietspiegel;B1.1
Mietvertrag;B1.1
Migration;B1.1
Milchkarton;B1.1
Milchzucker;B1.2
Million;B1.2
Millionär/in;B1.2
Minderheit;B1.1
mitdenken;B1.2
miteinander;B1.1
miterleben;B1.1
mitreden;B1.1
Mittelfeld;B1.1
mittelständisch;B1.2
mitten;B1.1
Moderation;B1.1
Modernisierung;B1.1
moralisch;B1.2
Mord;B1.1
motiviert;B1.1
Motor;B1.2
Motorhaube;B1.2
Motorradfahrer/in;B1.2
Mülltonne;B1.1
Mülltrennung;B1.1
musikalisch;B1.1
Muttersprache;B1.1
nachdem;B1.2
nachdenken;B1.2
nachdenklich;B1.2
Nachkriegszeit;B1.1
Nachnahme;B1.1
nachsehen;B1.1
Nachteil;B1.1
Nährstoff;B1.2
Nahrungsmittel;B1.2
naschen;B1.1
Nationalsozialismus;B1.1
NATO;B1.1
Naturkatastrophe;B1.1
Naturprodukt;B1.1
Nebel;B1.1
nebenbei;B1.2
neblig;B1.1
neugierig;B1.1
Neuwagen;B1.2
Niederlage;B1.1
Niveau;B1.2
Notunterkunft;B1.1
Nummernschild;B1.2
Nuss;B1.2
objektiv;B1.1
Obstschale;B1.1
obwohl;B1.1
offen;B1.2
offenbar;B1.1
Öffnung;B1.1
Oldtimer;B1.2
Onlineeinkauf;B1.1
Onlineshop;B1.1
Onlineshopping;B1.1
optimistisch;B1.2
Original;B1.2
Paket;B1.1
Paketbote;B1.1
Paketdienst;B1.1
Papiermüll;B1.1
Pappe;B1.1
Paradies;B1.1
parken;B1.2
Parklücke;B1.2
Passagier/in;B1.1
Passkontrolle;B1.1
PC;B1.2
Personenschaden;B1.2
Pflegehelfer/in;B1.2
Pflegekraft;B1.2
Phase;B1.1
Picknick;B1.1
Pilotenstreik;B1.1
Planet;B1.1
Plastik;B1.1
politisch;B1.1
Pool;B1.1
Porto;B1.1
portofrei;B1.1
Portokosten (Pl.);B1.1
Posteingang;B1.2
präsentieren;B1.2
Privatnummer;B1.2
Probezeit;B1.2
problemlos;B1.2
produzieren;B1.1
Protest;B1.1
protestieren;B1.1
PS (=Pferdestärke);B1.2
Qualifikation;B1.2
Qualität;B1.1
Quark;B1.2
quietschen;B1.2
Quizshow;B1.1
Radrennen;B1.1
Rangliste;B1.1
rasieren;B1.2
Rätsel;B1.1
rechtzeitig;B1.1
recyceln;B1.1
reduzieren;B1.2
regeln;B1.2
Regierung;B1.1
regulieren;B1.2
Regulierung;B1.2
Reifen;B1.2
Reihe;B1.2
Reinigungsfirma;B1.2
Reinigungsvertrag;B1.2
Reisebüro;B1.1
Reiseplan;B1.1
Reiseplanung;B1.1
reiten;B1.1
Reklamation;B1.1
Reportage;B1.1
Reporter/in;B1.1
Republik;B1.1
Retoure;B1.1
Retourenschein;B1.1
retten;B1.1
Richter/in;B1.1
romantisch;B1.1
Rücklicht;B1.2
Rückscheibe;B1.2
Rücksendung;B1.1
Rücksicht;B1.1
rückwärts;B1.2
Ruhezeit;B1.1
Runde;B1.1
Russlanddeutsche;B1.1
rutschen;B1.2
Sachbearbeiter/in;B1.2
Sachschaden;B1.2
Sack;B1.1
Sales Manager/in;B1.2
sammeln;B1.1
Sammelstelle;B1.1
sauber;B1.1
Sauberkeit;B1.1
sauer;B1.1
Schaden;B1.1
Schadensfall;B1.2
schädigen;B1.1
schädlich;B1.1
Schadstoff;B1.1
schalten;B1.1
Schalter;B1.1
Scheibe;B1.2
Scheinwerfer;B1.2
Schiedsrichter;B1.1
schießen;B1.1
Schläger;B1.2
Schlange;B1.1
schmutzig;B1.1
schneiden;B1.2
Schreiben;B1.2
schützen;B1.1
schwingen;B1.2
Seifenoper;B1.1
seitdem;B1.2
Selbstständige;B1.2
selbstverständlich;B1.1
senden;B1.2
Sendung;B1.1
Seniorenheim;B1.2
senken;B1.2
Serie;B1.1
Shopping;B1.1
siegen;B1.1
Sieger/in;B1.1
Sinn;B1.2
sinnlos;B1.1
sinnvoll;B1.1
Skisport;B1.1
Soap;B1.1
Solarenergie;B1.1
Sondermüll;B1.1
Sonnenschein;B1.1
Sonnenschirm;B1.1
Sonnenterrasse;B1.1
Sonnenuntergang;B1.1
Sorge;B1.1
sortieren;B1.1
soweit;B1.2
spannend;B1.1
sparsam;B1.1
Speise;B1.2
Sperrmüll;B1.1
spezialisieren;B1.2
Spieler/in;B1.1
Spielfilm;B1.1
Sport Utiliy Vehicle (SUV);B1.2
Sportwagen;B1.2
Sprachnachweis;B1.2
Staat;B1.1
Staatsgründung;B1.1
Stadion;B1.1
Statistik;B1.1
stattfinden;B1.1
Stellenanzeige;B1.2
Stern;B1.1
Steuerberater;B1.2
Steuerberatungsbüro;B1.2
stinken;B1.1
stinksauer (ugs.);B1.2
Stipendium;B1.1
stören;B1.1
Stoßstange;B1.2
Straßenrand;B1.2
Straßenverkehr;B1.2
Streichholz;B1.1
streiken;B1.1
streiten;B1.1
Strom;B1.2
Stromanbieter;B1.2
Stromkosten;B1.2
Studie;B1.2
Sturm;B1.2
Tagesablauf;B1.1
Talkshow;B1.1
Taschenlampe;B1.1
Taschenmesser;B1.1
tatsächlich;B1.1
Teamfähigkeit;B1.2
Teilkaskoversicherung (Teilkasko);B1.2
Teilung;B1.1
Telekommunikation;B1.2
Terminkalender;B1.2
Tiefkühlpizza;B1.2
tierisch;B1.2
Tierschutz;B1.1
Tor;B1.1
Torwart/in;B1.1
total;B1.1
Tote;B1.1
